PROIZVOD,SPAR_CENA,MERKATOR_CENA,TUS_CENA,NAJCENEJSI,RAZLIKA_EUR
DELIKATESNA MARGARINA EXTRA 70%, ZVIJEZDA, 500G...,2.17,2.19,,spar,0.02
DOMAČA POLNOMASTNA SKUTA, HECL, 500G,3.59,,3.19,tus,0.40
ČOKOLADNO MLEKO DISNEY, ´Z BREGOV, VINDIJA, 1L...,1.88,,1.89,spar,0.01
Čokoladni puding s smetano, Liegeois, Zott, 175 g,0.48,0.48,,merkator,0.00
Piščančje krače in krila, 1kg,24.72,,9.99,tus,14.73
GRAJSKA SALAMA NAREZEK AVE, PANVITA, 100G...,3.79,3.69,,merkator,0.10
SARAJEVSKE PLESKAVICE, AVE GRILL, 480G,7.99,4.99,,merkator,3.00
Fit Piknik Nabodalca Perutnina Ptuj IK 400 g Pakirano,5.49,,6.59,spar,1.10
Piščančja nabodala, Pivka, pakirano, 400 g, IK,5.49,5.49,5.49,merkator,0.00
Piščančji mini file, Perutnina Ptuj Natur Premium, pakirano, 400 g, IK,3.49,5.29,7.49,spar,4.00
Eko Kranjska klobasa, Čadež, ZGO, pakirano, 230 g,6.89,6.99,,spar,0.10
PIŠČANČJE KRAČE, RAZRED A, 5SI, AVE, 400G...,3.49,,3.49,spar,0.00
KULEN RAVNI NAREZEK, DOBRO, 80G,2.39,,2.29,tus,0.10
Ocvirki v masti, Kmetija Gnidica, pakirano, 500 g,8.48,8.49,,spar,0.01
KAMNIŠKI ODŠČIPANCI ANTON, MESO KAMNIK, 400G...,5.28,5.29,6.49,spar,1.21
Piščančji čevapčiči, Pivka, pakirano, 400 g, IK,4.39,4.39,,merkator,0.00
PRSI PIŠČANČJE SLIM & FIT, PERUTNINA PTUJ, 400G...,6.69,,6.69,spar,0.00
Štajerska Kolina Ave 450 g Pakirano,4.79,,4.82,spar,0.03
Sarajevski čevapčiči, Ave Grill, pakirano, 480 g,7.99,4.99,7.99,merkator,3.00
Pripravek AVE Grill, medena rebrca, cena za 1 kg,5.87,,9.79,spar,3.92
DOMAČI PREMIUM PIŠČANEC IK, AVE PANVITA, 1KG ...,8.69,,3.99,tus,4.70
Piščančji mini filetini, Pivka, pakirano, 400 g, IK,5.49,5.49,,merkator,0.00
