name,price,sale_price,store,date
"ADVENTNI KOLEDAR M&M´S & FRIENDS, MARS, 361G",12.99,,Spar,2026-01-02 00:00:00
"ADVENTNI KOLEDAR, MILKA, 90G",2.63,,Spar,2026-01-02 00:00:00
afrodita-briljantina-light-za-lesk-in-moker-videz-125-ml,4.29,,Tus,2026-01-02 00:00:00
aftershave-balzam-nivea-sensitive-100-ml,10.99,,Tus,2026-01-02 00:00:00
aftershave-losjon-nivea-man-sensitive-120-ml,2.89,,Tus,2026-01-02 00:00:00
aftershave-losjon-nivea-men-deep-100-ml,13.49,,Tus,2026-01-02 00:00:00
aftershave-losjon-old-spice-wolfthorn-100-ml,9.99,,Tus,2026-01-02 00:00:00
aftershave-losjon-solea-men-115-ml,3.29,,Tus,2026-01-02 00:00:00
aftershave-macho-sport-100-ml,6.25,,Tus,2026-01-02 00:00:00
aftershave-nivea-balzam-mild-100-ml,13.49,,Tus,2026-01-02 00:00:00
aftershave-old-spice-whitewater-100-ml,9.99,,Tus,2026-01-02 00:00:00
agar-za-zeliranje-kotanyi-10-g-,0.89,,Tus,2026-01-02 00:00:00
"AJAX BATHROOM SPRAY, 750ML",4.28,,Spar,2026-01-02 00:00:00
"AJAX KITCHEN SPRAY, 750ML",4.28,,Spar,2026-01-02 00:00:00
"Ajdov hlebec z orehi, Žito, 400 g",2.49,,Mercator,2026-01-02 00:00:00
"AJDOV KRUH Z OREHI, ŽITO, 400G",2.39,,Spar,2026-01-02 00:00:00
"AJDOV MED, ČEBELARSTVO PISLAK BALI, 450G",11.59,,Spar,2026-01-02 00:00:00
ajdov-kruh-z-orehi-400-g-,2.49,,Tus,2026-01-02 00:00:00
"AJDOVA COPATKA PEKARNA SPAR, 150G",1.19,,Spar,2026-01-02 00:00:00
"AJDOVA KAŠA HITRA PRIPRAVA, MLINOTEST, 500G",1.89,,Spar,2026-01-02 00:00:00
"AJDOVA KAŠA, DIŠI PO PREKMURJU, 1KG",5.96,,Spar,2026-01-02 00:00:00
"AJDOVA KAŠA, MLINOPEK, 1KG",4.99,,Spar,2026-01-02 00:00:00
"AJDOVA KAŠA, MLINOTEST, 1KG",3.49,,Spar,2026-01-02 00:00:00
"AJDOVA KAŠA, OLUŠČENA AJDA, MLIN RANGUS, 1KG",4.25,,Spar,2026-01-02 00:00:00
"AJDOVA KAŠA, SPAR, 1KG",2.69,,Spar,2026-01-02 00:00:00
"AJDOVA KAŠA, ZLATO POLJE, 1KG",4.15,,Spar,2026-01-02 00:00:00
AJDOVA MOKA 1 KG,3.49,,Spar,2026-01-02 00:00:00
"AJDOVA MOKA, DIŠI PO PREKMURJU, 1KG",4.38,,Spar,2026-01-02 00:00:00
"AJDOVA MOKA, MLIN RANGUS, 1KG",3.98,,Spar,2026-01-02 00:00:00
"AJDOVA MOKA, MLINOTEST, 1KG",4.39,,Spar,2026-01-02 00:00:00
"AJDOVA MOKA, SPAR, 1KG",2.18,,Spar,2026-01-02 00:00:00
"AJDOVA MOKA, ŽITO, 1KG",4.49,,Spar,2026-01-02 00:00:00
ajdova-kasa-rangus-1-kg-,4.59,,Tus,2026-01-02 00:00:00
ajdova-moka-dobro-1-kg-,4.29,,Tus,2026-01-02 00:00:00
ajdova-moka-rangus-1-kg-,3.99,,Tus,2026-01-02 00:00:00
ajdova-moka-tus-1-kg-,2.69,,Tus,2026-01-02 00:00:00
"AJDOVE JUŠNE TESTENINE, DIŠI PO PREKMURJU, 250G",3.89,,Spar,2026-01-02 00:00:00
"AJDOVE ŠIROKE TESTENINE, DIŠI PO PREKMURJU, 250G",3.93,,Spar,2026-01-02 00:00:00
"AJDOVE TESTENINE TAGLIATELLE, DIVITA, MLINOTEST, 400G",2.29,,Spar,2026-01-02 00:00:00
"AJDOVI NJOKI DIVITA, MLINOTEST, 500G",2.85,,Spar,2026-01-02 00:00:00
"AJDOVI RAVIOLI TRIJE SIRI DIVITA, MLINOTEST, 250G",4.25,,Spar,2026-01-02 00:00:00
"AJDOVI ŠTRUKLJI S SKUTO, ZLATO POLJE, 400G",4.88,,Spar,2026-01-02 00:00:00
"AJDOVI ŽGANCI HITRA PRIPRAVA, ZLATO POLJE, 250G",2.18,,Spar,2026-01-02 00:00:00
"AJVAR BLAGI, PODRAVKA, 690G",4.29,,Spar,2026-01-02 00:00:00
"AJVAR IZ PEČENIH PAPRIK, BLAGI, PODRAVKA, 290G",3.98,,Spar,2026-01-02 00:00:00
"AJVAR IZ PEČENIH PAPRIK, PEKOČI, PODRAVKA, 290G",3.98,,Spar,2026-01-02 00:00:00
